source,target,weight
0x01456b,0x01a577,11
0xbf65,0xcc9c,196
0x0106bf,0x018d0c,34
0x1c75,0xf7,12
0xfa3f,0xfa3b,20
0x01a2e2,0xd819,20
0x99c0,0x94da,16
0xc026,0x0174f8,16
0x0188b1,0xf7,23
0xe453,0x013489,33
0x0b80,0x01a577,19
0x011b9e,0x0174f8,48
0x012aaf,0x01cfd4,17
0x3e53,0x01b8ff,16
0x014121,0xf7,15
0x0198a5,0x20c6,16
0x015458,0x01b8ff,16
0x013b78,0x01704e,16
0x2bb4,0x0136a4,16
0x9354,0x01b8ff,16
0xc6d1,0x6502,17
0x01a87d,0x01a501,18
0x014a7d,0x014a8d,23
0xbb07,0x01b8ff,16
0x01a5d4,0x01b8ff,16
0x951c,0x01b8ff,16
0x01b779,0x01b40d,43
0x0156dd,0x0174f8,16
0x0172bd,0x01a577,17
0x01a457,0xcc9c,23
0x015036,0x0174f8,19
0x01a8ba,0x0134d9,57
0x011173,0x01b8ff,32
0xbe27,0x0578,16
0x77d4,0x1585,12
0x6cd8,0x0174f8,41
0x0148e6,0x9993,41
0x470b,0xf7,34
0x01190c,0x20c6,11
0xbd9e,0xbc4a,17
0x01c9e9,0x8729,11
0x01d3f1,0xbc4a,12
0xfbe4,0x01b8ff,24
0x0139a8,0x01a577,16
0x97a4,0x01a55d,17
0x012829,0xf7,11
0xd6ef,0x013489,33
0x49c4,0xf7,12
0x0caa,0x0174f8,24
0x01baeb,0x0174f8,32
